sentiment,total_trades,avg_pnl,median_pnl,win_rate,avg_trade_size_usd,avg_fee
Extreme Fear,17966,26.491301587442948,0.0,37.04219080485361,5032.351586886341,1.0445354826548425
Fear,51276,55.28233986812544,0.0,43.22490053826352,8388.570454988689,1.5635280046124778
Neutral,34544,37.50943347892542,0.0,40.116952292728115,4765.769071039833,1.0256970533100047
Greed,44913,35.492667760759694,0.0,38.36083093981698,5749.878379533765,1.2498298393605036
Extreme Greed,37863,69.28422631653592,0.0,47.727332752291154,3091.605506431081,0.6755780481322134
