event_type,event_date,avg_pnl_before,avg_pnl_after,win_rate_before,win_rate_after,avg_trade_size_before,avg_trade_size_after
Negative Shift (Greed → Fear),2025-02-23 03:00:00,83.79025030786327,255.17666065354388,17.189533735413388,40.83096135927981,10188.546034585912,7886.781884783356
Positive Shift (Fear → Greed),2025-02-14 15:00:00,156.56550686951448,787.4171249717517,22.185467030767796,21.98807887382277,16849.384398855127,15923.51395429704
