cluster,sentiment,avg_pnl,win_rate
0,Extreme Fear,-13.076321236268527,34.612031386224935
0,Fear,39.640263543335976,40.98571995239984
0,Neutral,104.88382818865628,49.318403115871476
0,Greed,43.988939930765035,36.25295293476285
0,Extreme Greed,48.41426993630573,30.573248407643312
1,Extreme Fear,22.853169483355295,37.45278875713659
1,Fear,27.661496649601386,42.56152512998267
1,Neutral,20.971133531322604,36.60288091919064
1,Greed,29.04434119519105,33.32066606785048
1,Extreme Greed,70.36498853013595,45.5929003021148
2,Extreme Fear,-22.83700853920544,38.26450601150026
2,Fear,27.938297672994487,45.71341090018371
2,Neutral,18.685072637063737,46.35425200720957
2,Greed,-3.067843781476291,57.73183835552441
2,Extreme Greed,73.08670461463808,68.44588219436581
3,Extreme Fear,722.6266059414316,28.850325379609544
3,Fear,535.8298830841195,50.039308176100626
3,Neutral,385.42191137272727,51.21212121212121
3,Greed,282.629037287592,33.964248159831754
3,Extreme Greed,68.41375810733591,8.03088803088803
